Stress,o1
1,0.912402680000000
2,0.854204555000000
3,0.876866820000000
4,0.876640543000000
5,0.850343392000000
6,0.883017249000000
7,0.838448006000000
8,0.926703827000000
9,0.896370989000000
10,0.846460580000000
11,0.844637360000000
12,0.830089830000000
13,0.863728533000000
14,0.422217886000000
15,0.874985129000000
16,0.890907050000000
17,0.868944915000000
18,0.846388545000000
19,0.865814498000000
20,0.897269537000000
21,0.827636588000000
22,0.831671577000000
23,0.828170199000000
24,0.882073275000000
25,0.873781547000000
26,0.836104540000000
27,0.851748666000000
28,0.890760834000000
29,0.823887602000000
30,0.883753768000000
31,0.838643186000000
32,1.071566175000000
33,0.825218580000000
34,0.885060392000000
35,0.846301682000000
36,0.822214293000000
37,0.828453242000000
38,0.877380097000000
39,0.885058076000000
40,0.883567326000000
41,0.815651268000000
42,0.874707115000000
43,0.844236277000000
44,0.856786962000000
45,0.827926851000000
46,0.828013842000000
47,0.854560781000000
48,0.830235998000000
49,0.810596057000000
50,0.826241607000000
