Scenario,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12
1,-0.08093430977058800,0.05359083070630400,0.00176033302368500,0.20879347139424900,0.13159789473301600,-0.13190657355530100,-0.11637616039913200,-0.44971899861386800,0.11758916914271000,0.45917296865272000,0.55480163489945900,0.57536729324621500
2,0.25139687066830600,0.29868418235769500,0.04026092846898500,-0.80440757237484600,-0.24581684636644200,0.09249407226388200,0.08951062224393300,-0.01910763018395100,0.09902086916896100,-0.23654054882024400,-0.37059962185243500,-0.10959377014213600
3,0.14721670984797300,0.40398765904686000,0.02974653274270700,-0.50286494667246300,-0.15734190228865100,0.13182590310933100,0.20529209729057400,-0.06734539107260900,0.53455292854228500,0.32742347620557000,-0.10796757848580900,-0.06164649570495200
4,-0.17893791609182600,0.05813176674606400,-0.62696355844813000,-0.77090327403125600,-0.20907132642741300,0.08846846703051500,0.34077715251335600,0.12572300935104200,-0.17224489102319700,0.29962709459482300,-0.08042231411777700,-0.06849610633883500
5,0.04023314848832400,-0.32951725628422300,0.02253859219255400,-0.96824631768459600,-0.17733577453921000,0.11543298296513400,0.09306178887605400,-0.00421027441864600,-0.02157273227008900,0.05058496836626800,-0.14095677965631800,-0.03424805316941800
6,0.17027455413340700,0.52978417808370600,0.01203661493014800,-0.36353433318104500,-0.20788912080892400,0.05819506888767300,0.51129423183890300,-0.02946139462530000,0.06581954643333600,0.54152881753472700,-0.47842504157705500,-0.10274415950825300
7,0.35512403761671100,0.43780362345139300,-0.34791701054158900,-0.47545898871630900,-0.34362956068444700,0.09137789522609300,0.11355159386765300,-0.23803803023451700,-0.39935766949501800,0.19223484561343900,-0.03221896228282600,-0.08219532760660200
8,-0.21716340347860200,0.62857999613583400,-0.24095266071397900,-0.72864121607227100,-0.31500532746869800,0.12695129404131600,0.08592481329582500,0.21956643129223000,0.00448428590900800,0.02266707441199700,-0.13491030148094100,-0.07534571697271900
9,-0.15064854178695400,0.15588825561305200,-0.30059339258038700,-0.87750515050051900,-0.19989550274473500,0.05710768427404000,0.03287756710108900,0.19172197179715500,-0.19477650513394900,0.39382161736753500,0.02693479145052000,-0.10959377014213600
10,-0.03484768241533600,-0.26530551413743000,-0.18177065099077100,-0.73997244035825100,0.10116497586889900,0.00128151889592500,0.22641633744454000,0.00908049656119200,0.05251509489647600,0.00464533896755500,-0.24885628846819100,0.00684961063388400
11,0.12934353306769200,0.19033853718168400,-0.39965738143908600,-0.66271382427588200,-0.11469634140548800,0.11000085163301700,0.18860924517979200,-0.07419668047944600,0.14119380693155900,0.52767831150358100,0.12933059935627400,-0.06164649570495200
12,0.59161773615622100,0.58220336288326400,-0.21903553704492500,-0.13443637577165100,-0.20335122964569800,0.08296944638975000,0.08347846512894500,-0.48642769885125400,0.32199032014334200,0.10993357247882100,-0.22180492501337100,0.03424805316941800
13,0.07500430206986700,0.14785823681085200,-0.02512890306489800,-0.49678532418290800,-0.18967112612028000,0.05304458247141400,-0.06531522490932700,-0.00330114968957700,0.19403982655065000,-0.13399883189579300,-0.56330215657927900,-0.09589454887436900
14,0.05676415760045500,-0.29631790558371300,-0.11566780673035000,0.15526077602926900,0.14767667372824800,-0.09677403971789500,0.01922498478288700,-0.15187349355942400,0.10303403272882300,0.53671708914220900,-0.47427110535117800,0.21918754028427300
15,-0.05055284063629400,0.14758220346795500,-0.20590539935315700,-0.68790885368884200,-0.16612188798874700,0.11771843811611100,0.15521064616494400,0.01891188932527000,0.07825971562511400,0.00507101519618700,-0.05172832187349300,-0.00684961063388400
16,0.02275417921530200,0.52411487387433100,-0.27553523385981900,-0.76587382412810900,-0.23678647181642400,0.28204447801287400,0.18968708256988000,0.03772190563010000,0.04216775040641400,0.21924601530839500,0.04773386459807900,-0.09589454887436900
17,-0.12673674927190600,-0.30769387760536300,-0.13500056321589600,-0.92135231886431600,-0.06183840078272500,0.09838296089066300,0.17002089684692800,0.08486617644684300,-0.21022944219441900,-0.18010737189258400,-0.10395032764529700,-0.02739844253553400
18,0.30941496437067900,0.24957138654951200,0.19578611344539200,-0.75197578495105600,-0.35595485286010500,0.02727263574562000,0.15709372850888700,-0.16811097366845700,0.13989578480416800,0.25824184291790200,0.24735732954367600,-0.08904493824048600
19,0.23056179467271600,0.51477277180624700,-0.15278435695002600,-0.66781913092307600,-0.11111700908601800,0.05359015746897800,0.14254029612705000,-0.08487909212606900,-0.23789187160747200,-0.18878580178829400,0.15454610875401100,-0.10274415950825300
20,0.30021145126534700,0.93984863760596100,0.09450036311848800,-0.41433076742149900,-0.11497310335920000,0.22878638399177100,0.26671864730633100,-0.13389920129339600,0.04152449723807800,0.02336049202482400,-0.06292380560018800,-0.09589454887436900
21,0.38589190470861800,0.01205810263546500,0.05138729624638900,-0.63452023687992300,-0.18278788876073500,0.11770844308038400,0.12066660300309200,-0.30672776642800300,-0.06972075330580500,0.57839284176608700,0.06537154667188100,0.00684961063388400
22,0.39809166826711300,0.28569308739062100,-0.14211587297285800,-0.45422304099342800,-0.28481683773129700,0.11108713439145900,0.06847623388225000,-0.27626225841196000,0.25008670195330300,-0.15319069668599700,-0.37634312322421300,-0.07534571697271900
23,0.27827458222437000,0.05728400510501500,-0.23612769783293600,-0.57144904852738200,-0.14276872247311100,0.06556555736142700,0.13193839036110200,-0.23356737896574900,-0.04410218523244700,0.10139684531298700,-0.09699798926993500,0.01369922126776700
24,0.06916865898789200,0.33318018255722200,-0.12626588210733700,-0.53041005742207700,-0.41634916791703600,0.20498521029477000,0.12971892678122000,-0.01767262969298700,-0.34026831118331900,0.02726226693629700,-0.45110376158868600,-0.08219532760660200
25,-0.01707630074411200,0.05616204042401100,-0.06831075679120000,-0.57672306254363900,0.05645541631359500,0.05885765965763900,0.06576921991053000,0.00751592421286900,0.03620437793740700,0.18349547053298900,-0.26778709833332000,0.01369922126776700
26,0.32003710848299200,0.25506073252288800,-0.08149240373980200,-0.33666306675516600,-0.06768720025448800,0.08133893089886500,0.17666806165269400,-0.24517297288744600,0.37896645635275900,-0.02929396244063700,-0.52384087400977300,0.02054883190165100
27,0.04428227884273400,-0.09240068226639900,0.17384804137627900,-0.71048657914407500,-0.11308937834245700,0.16631657365672500,0.19813504419407900,-0.04781843428572500,0.07033727563869500,-0.00434254017617900,-0.38871347062174700,0.03424805316941800
