Stress,Output
1,0.0059839727550000
2,0.0033878783122000
3,0.0041197625629000
4,0.0036721346646000
5,0.0032925226060000
6,0.0041091068964000
7,0.0037651333584000
8,0.0037904428168000
9,0.0036823563613000
10,0.0035208224338000
11,0.0033503518898000
12,0.0039303674641000
13,0.0041662437348000
14,0.0045501474519000
15,0.0036415783490000
16,0.0038732676249000
17,0.0036797798968000
18,0.0035747611981000
19,0.0038988217905000
20,0.0046407219193000
21,0.0032748462302000
22,0.0038605552541000
23,0.0033045748675000
24,0.0038292329038000
25,0.0038799164155000
26,0.0038239192056000
27,0.0033871094810000
28,0.0040842172427000
29,0.0037434523130000
30,0.0040814777859000
31,0.0031753461348000
32,0.0076108834971000
33,0.0032887942551000
34,0.0041152823588000
35,0.0034521094259000
36,0.0035700379166000
37,0.0033066836719000
38,0.0036211560828000
39,0.0038958667360000
40,0.0047301113950000
41,0.0031762259137000
42,0.0034681926026000
43,0.0032988935883000
44,0.0041094508077000
45,0.0032453413683000
46,0.0033208725014000
47,0.0033652949566000
48,0.0031875793300000
49,0.0032779139118000
50,0.0035020575729000
