Scenario,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13
1,-0.43439043747540700000,-0.25199682633660500000,0.14258896811978400000,0.10221477120899600000,1.01115988243281000000,-0.14907811970328100000,0.16803100361371600000,-0.22799370669508000000,-0.07033141983831470000,0.22150891722788500000,0.19791739626746300000,-0.47114928267872000000,0.91099820665129700000
2,0.12210290153529700000,0.02706980501005490000,-0.40689804543246300000,-0.25934611600036000000,-0.03818995462334580000,0.06096563879023650000,0.28253810466891100000,-0.05725101945949040000,0.12983877720923400000,0.14644852898210700000,0.39872760482477600000,-1.09445586656255000000,0.01369922115265110000
3,-0.37663203389632400000,-0.05347406096213700000,0.23445144895305000000,-0.03544096839731820000,0.09061208036629010000,-0.01245176993545670000,0.14635268353166400000,-0.17890500915785500000,-0.20947571256945900000,0.01788727798931830000,0.29542691331104200000,-0.58390834908894800000,0.43837507688483400000
4,-0.12177948761216700000,0.04418548875504240000,-0.24839350561828000000,-0.00456113064109995000,0.07851499681651270000,-0.03872666267493010000,0.03634589903616490000,-0.08435228898451380000,0.30976156092345800000,-0.10830174422308800000,0.51215744073427100000,-0.75514896361143200000,0.20548831728976600000
5,-0.93075378409534900000,-0.00944318020657779000,0.21418387375633500000,-0.12252004867308700000,0.35930268413271400000,-0.03774886285799070000,0.23121708983897000000,0.23160325422747100000,-0.09181507229619880000,0.09417487089386190000,-0.59993696084951700000,-0.63124127224550400000,0.10274415864488300000
6,-0.41287489509096800000,0.27265700305875800000,-0.10086881519266700000,-0.01428717282485730000,0.03705654703205320000,-0.00085400016006743000,0.06900241812689310000,0.16543159726962700000,0.36702016258958600000,0.22001856457722000000,0.11360028330864400000,-0.80456240450723000000,0.04109766345795320000
7,-0.28905275419362600000,0.27096006822271200000,-0.03741631180507820000,0.22344939964454200000,0.07650031558381130000,-0.03489803736452260000,0.16954279842277800000,0.01328503903924530000,0.36340996592928600000,-0.17818257553098500000,0.30314460141572900000,-0.71118461755798600000,0.17124026440813800000
8,-0.51250362385052000000,0.50655956753193800000,0.14800448673926100000,-0.08956734273947850000,0.05480906220548910000,0.00711174882487434000,0.12863342640484200000,0.23814943138433400000,0.72208766846278600000,-0.35195451112839700000,0.80300874841242200000,-0.56150217178964700000,-0.02054883172897660000
9,0.03151783312184570000,0.00638793872144509000,-0.17554354554056800000,0.02441205325144480000,0.08607321825539220000,-0.02113712343008400000,0.17391232969163300000,-0.01616985534232180000,0.39763108661907700000,0.03922571557695580000,0.20710766414561000000,-0.82499382302389100000,-0.01369922115265110000
10,-0.78089589788152100000,0.19372371597072900000,0.14439396734974600000,0.29046862474594400000,0.20068430008090000000,-0.05487593941470480000,-0.25035423421239100000,0.24252594644197500000,-0.38762672864354600000,0.22906103775969100000,-0.05702963212957040000,-0.69408206800387500000,0.06849610576325540000
11,0.07721505870418020000,-0.18021754191935300000,-0.10922062943713300000,0.14381120172414700000,-0.01100337047633540000,0.00807800429439393000,0.26105296365441100000,-0.06185383391451290000,0.32888567067193100000,0.04762349262998240000,0.22522137236019200000,-1.03424627375522000000,0.04794727403427880000
12,-0.05448399874186760000,0.13391912734009200000,-0.38264076570595700000,0.23976088680409800000,0.24513973020167400000,-0.03825150370903010000,-0.00590750833681047000,-0.07899768356144570000,0.17382180683134700000,0.15385723276129500000,0.38282123605284900000,-0.71324106361364500000,0.13014260095018500000
