Stress,Output
1,0.001918532780639200
2,0.001099048194028430
3,0.001675403747337860
4,0.001302416173126230
5,0.002402491163087600
6,0.001698571599678080
7,0.002023625829989210
8,0.001952647412153440
9,0.001458901171764190
10,0.003847069082197780
11,0.001355285041242020
12,0.001811311678315810
13,0.001925999668212010
14,0.001527661517588930
15,0.001908856437873360
16,0.005199820978026020
17,0.003535230003738610
18,0.005123981646252490
19,0.003085178157195020
20,0.002512003182777510
21,0.004037763574184990
22,0.002015277660431160
23,0.001994502656855040
24,0.003371839406825950
25,0.003295168126452000
26,0.002705895448068030
27,0.001689854914404400
28,0.001854577531874470
29,0.002142144446632690
30,0.000912916590188410
31,0.002489576399955930
32,0.001968257768753430
33,0.001471890848226130
34,0.002540198718092330
35,0.001179736605808910
36,0.002696032712657040
37,0.001567997031278190
38,0.001758786635247790
39,0.001466482338167240
40,0.001329047410593860
41,0.005920242178816790
42,0.001712509768970260
43,0.001461783113961070
44,0.001264440598400280
45,0.003196184969932250
46,0.002921404898501820
47,0.001297761723006290
48,0.003090276430326020
49,0.001700138204603300
50,0.001379260730869470
51,0.001395577287109550
52,0.001552458602390490
53,0.001203660627330340
54,0.001977428702555030
55,0.001738368489253730
56,0.001739252286170240
57,0.001850650800891340
58,0.001459895224657980
59,0.002151898508670780
60,0.000989879208448448
61,0.001801377352506440
62,0.001393596221376690
63,0.001606448139057300
64,0.001935161304749780
65,0.002584924075826180
66,0.001279858845953240
67,0.002188287232888990
68,0.002061992892613740
69,0.002170418021623670
70,0.001639924338808170
71,0.002237202423275820
72,0.001523346935725380
73,0.003252385724476050
74,0.001036602596964810
75,0.001900673408610250
76,0.001554709349825760
77,0.001009673805804510
78,0.002012304095798000
79,0.001838378487355600
80,0.001510254876490780
81,0.001088442706533930
82,0.001158176258273740
83,0.001824827824538780
84,0.002710662336405520
85,0.001829930648761840
86,0.004734751678471560
87,0.002455577029190400
88,0.001146895844432890
89,0.001613665237330920
90,0.001467958083560180
91,0.001125871542084130
92,0.003747222687104320
93,0.001859011190656750
94,0.001417182017556000
95,0.001746533148405180
96,0.002015850507857530
97,0.002228000143675220
98,0.001745457864854840
99,0.002043830503265620
100,0.000974856905177246
101,0.002994092862657180
102,0.001180406701927850
103,0.001193101395320340
104,0.001573058317240330
105,0.001895994050502560
106,0.002353940451367200
107,0.001740044634278880
108,0.001864286612621360
109,0.001697640751729500
110,0.001047049991211920
111,0.001521194168220540
112,0.001384603898664430
113,0.001738430747314940
114,0.001922121594302170
115,0.001215205216546680
116,0.002371407433965030
117,0.002809231006527620
118,0.002099421345292120
119,0.001814574607762030
120,0.001490407670077220
121,0.001751984965104460
122,0.003458925710915370
123,0.002008568781206770
124,0.004924303144547460
125,0.002396434749024310
126,0.001875686766030250
127,0.002010485602497820
128,0.002040546061077530
129,0.001097671650811070
