Scenario,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13
1,-0.8090940026301830,0.1494303442804760,-0.0752117621461183,1.0239884522856600,-0.0750124601625116,-0.0518887082588772,0.1943673982512160,0.1043472238660620,-0.4588278018127180,-0.2406142424632070,0.3033555255115960,-0.3768560683305270,0.1575410432554870
2,-0.5077531951059370,0.9837885627266800,0.2763808108445480,0.2446062256147360,-0.0475222230565000,0.0451896053096513,0.0500725758215418,0.4443648667341400,-0.1424353391368320,0.3262270829572640,0.0214166095435679,0.6624389965099010,0.3356309182399510
3,-0.7216828555609470,-0.3437666384843620,-0.5424971152359550,0.8867633575694060,-0.1100965416112280,0.3418730980813850,0.0585560051489635,0.0100916399292966,-0.1335144035924250,-0.1430559727518300,0.2246314770274600,0.2474214128686870,0.2739844230530220
4,-0.7944219732336800,0.0701920163451558,-0.2469190766091580,0.2962917594201500,-0.1052002306502470,0.1607738064998180,0.1252415182742030,0.0000023392106189,0.0833362381741271,-0.1405051626037770,0.3117827141535150,0.0559534299693078,0.2602852019003700
5,-0.9590772468779660,0.4541792746388910,0.0575717320050478,0.0760052549292965,-0.0787930065007044,0.1501656092365340,0.2700797788199580,-0.2675418604129810,0.0263745459738079,0.2082724257545360,-0.0938480829562420,-0.4991383446835810,0.1575410432554870
6,0.0028849281454144,0.7029580870283500,0.0134943651657163,0.0081540334300790,-0.0521817415902553,0.1190483779128870,-0.1659905783751480,0.1929470244558390,-0.1238429705160840,0.1965937458532090,0.3346519964429630,0.2208336622554600,0.0547968846106043
7,-0.1861924463508890,-0.0804269667826945,-0.3513012081137980,0.2403158864382910,-0.1069784861324660,0.0089695148345247,-0.1778418156408140,-0.0778699558389784,0.0262267128230374,0.2450918929152370,0.0374448771036597,-0.4488219477737980,0.2397363701713940
8,-0.7635790364568500,0.1019643795400980,-0.1683238436456770,0.0363149380727661,-0.0496432673349375,-0.0380859677393391,0.1932201969614720,-0.1957745936071880,-0.1727391289070410,0.2897770131607510,0.3891783444235470,-0.0171870261247377,0.1027441586448830
9,-0.8826594797942820,0.1525799767513530,-0.3672868884658720,0.0674112770175365,-0.0386729404632733,0.1320496872152000,0.2431492064666310,0.1103982413512870,-0.5305715360026760,0.6539655026884970,-0.0616709655564335,0.0623856696306568,0.1027441586448830
10,-0.6934086650767760,0.0806688415733628,-0.2153298110597930,0.6622365103919360,-0.1317224783203820,0.0090827914509826,0.1596123992782210,-0.0298294211983102,-0.1382176495346750,0.2255342010118250,0.0638615579706051,-0.3651873451128620,0.1164433797975340
11,-0.1903400927189700,0.0274206265488400,-0.0997161343169211,0.0477579770403879,-0.0625497623976279,0.0588751393971883,-0.1984767378734370,-0.0141329554209552,-0.1785836392127210,0.3429932541845490,-0.0953223041817202,0.0789105772918935,0.3082324759346490
12,-0.7808958978745070,0.1937237158367810,0.1443939663403050,0.2904685229397910,-0.0538007358541309,-0.2142974636516340,0.2556840770868400,-0.2653083050488150,-0.2015997115813180,0.4605860005371410,0.1093207613675290,-0.0591288730069633,0.0684961057632554
13,-0.3079713345517920,0.0570022354221726,0.0981673140009618,0.6630541869743580,-0.1456209027659460,0.0851344180117041,-0.1686401560224750,-0.1187856982650800,-0.0461504118578519,-0.0272881737068649,0.0397345073181328,-0.3406791132870820,0.4589239086138110
14,-1.0327064341208600,-0.3519419367531000,-0.4473424802839180,0.0486148134350406,-0.0421230554162352,-0.2760486434084780,0.3199766276222170,-0.0748062054705543,-0.1022474936908280,0.4089153766411280,-0.0081322383895449,-0.0110934267156800,0.0547968846106043
15,-0.7260591642559110,-0.0777885891361283,-0.1219985740931390,0.0388578629864740,-0.0645315539785857,0.0441438417155051,0.1812479011347600,0.1638816447194400,-0.1161245885434510,0.7307777138988200,0.2725125787208720,0.3385057980592260,0.1095937692212090
16,-0.9420830776861060,-0.1131480455737290,0.2258401046128850,0.5296177425193670,-0.1069593563709210,-0.1347041003298440,0.3269521253385110,-0.0572987913467925,0.2316646649521370,-0.1995107751472210,0.0218579048445343,-0.5150938862500370,-0.0068496105763255
17,-0.6977007759416550,0.5925215812546700,0.1844670388739190,0.4358676743108710,-0.0734674976812816,0.0867620264650840,0.1238153728060460,-0.1906141562724870,-0.0908990044616127,0.4211069137571270,-0.1276787628957660,-0.0672562930656638,0.2945332547819980
18,-1.1598645881080800,-0.1117949851245640,-0.2677812616606950,-0.1516413239558670,-0.0122975284796160,0.1294330843290520,0.3155290851018450,0.0040995204882287,0.5133694058408390,0.0523513376363347,0.4999628702985570,-0.2155365255344750,0.1438418221028360
19,-0.5549430363959980,0.0699840877591526,-0.2074585519793310,0.1572906810183980,-0.1332935245693860,0.1597099408498630,0.0046107202756107,-0.0851184955505059,0.1006657530826710,0.1227393397367160,-0.0600366383374861,0.0856955781751318,0.2945332547819980
20,-0.4750852615158390,0.5355528570554930,-0.2510375239255070,0.1702124339019420,-0.1072537472706410,0.1299322426612400,-0.0208439593935069,0.2564499007980380,-0.0327358237626525,0.1117708746013600,-0.0393733275181928,0.1183327521641260,0.3356309182399510
21,-0.8023573827489970,0.1874936644142260,0.0359929549901936,0.1610909068216430,-0.0016362081257451,-0.2245500970296290,0.3110942379399460,0.3217664566741770,0.0964590642358670,0.1208796700449210,1.2433701543903500,-0.0812933739035158,-0.0205488317289766
22,-0.5726904590816710,0.2107755594035730,0.3911177721176400,0.2632610735240710,-0.1198332677987890,0.0679327479485664,0.0713212306448042,-0.0819226371110534,-0.0489387283139655,0.2723446141878070,0.4509025996390450,-0.1100764892586000,0.2260371490187430
23,-0.5526595267460360,0.0996723685394303,-0.1666695915277060,0.1210754896371620,-0.0194004452440079,-0.5803790570309210,0.0908594755693971,-0.1415342252630230,-0.1200949381623300,0.1469916679912110,0.0723813669721807,0.2723908683637890,0.1780898749844640
24,-0.6659578836229000,0.3267351303106500,-0.0897795562958716,0.0639006860519199,-0.0493004203521355,-0.1285996215272390,0.1615848537194830,0.1945868630532180,-0.2170225425698970,0.2493215843414830,0.1826556338109200,0.3260865193056440,0.1506914326791620
25,-0.7741908193234470,0.1614853417893550,0.0654482185201682,-0.0395925404700179,-0.0204371561563043,-0.1819609532370190,0.2116845450715420,0.1735911254082700,-0.1899232478321600,0.3604904816088540,0.0030178612175053,-0.0035502307719666,0.1164433797975340
26,-0.3883855204274930,0.0162113818295646,0.1215860625532760,0.1183833141183490,-0.0945526414783916,0.3856222170514540,-0.0458950652269718,-0.0433509516365662,0.1347995438349040,0.2120229032761840,0.4606606756646110,-0.1843495861239470,0.1369922115265110
27,-0.6530278332780880,0.2581766259074340,0.1397429555505060,-0.0764534993208654,-0.0180592797077102,-0.7636858728964200,0.1786471389829080,-0.1714102356603200,-0.0816657094694519,0.1063004709832290,0.2056573001903490,-0.3093328119341740,0.1301426009501850
28,-0.6530435790202900,0.1011957213734010,0.4936762065193830,0.3530683151036520,-0.0771481580931783,-0.1194872129433240,0.1297673810857810,-0.1439506461834140,0.2459090860267360,-0.1495367607466870,0.2630916028418480,-0.2760668717717700,0.1575410432554870
29,-0.3653563681532630,-0.6431719498131840,0.1282233255539990,0.2264459242648900,-0.0901477573649872,0.0905538172625461,-0.2150924388523110,0.1667296422734780,0.1467923583058720,0.0139994972572244,0.4614313965851580,0.0391117435568712,0.6233145624456240
30,-0.8175206400052120,0.2480160051670840,0.4043105820628650,-0.0346463360107447,-0.0691416576279108,0.0865423134750126,0.1443748229302200,-0.0462361637458935,-0.0667003148901474,0.1544558695108760,-0.0361883218239299,-0.2523972065250700,0.2876836442056730
31,-0.5587083272366560,-0.3984684175016150,0.2965489720440150,0.5059920613380350,-0.1298983996269920,0.0496048923679307,-0.1748604577942040,-0.1116525744784360,-0.1566637261104700,0.0773789221227885,-0.0852788715625156,-0.1922269440124540,0.7945548268537620
32,-0.9768352029501950,0.0186229202089704,-0.2885546413674380,0.0088697713566385,-0.0393464904633048,0.0992503872017174,0.2364610067884670,0.0703868010179103,-0.0332690753776793,0.2879913335493890,0.1376734411673170,-0.2081352363346030,0.1986387067134410
33,-0.6610317540006340,0.1434398612170640,-0.0863140133300097,0.1514521746741500,-0.0773633965071355,0.1321722734000590,0.0235758838981847,0.0317857065240912,-0.0005521189105251,0.0044658626426351,0.7715350144457160,-0.3981035262595200,0.3767285816979050
34,-0.8416369576337010,0.0286933520555625,0.3960962535066010,0.0248677122069814,-0.0802338964600513,-0.0690969653006999,0.2792054920849780,-0.0533754029524443,0.2658805483411540,0.1189324233397660,0.0376988075394620,-0.4735843670530290,0.0273984423053022
35,-0.8330711127468280,0.3630520416551280,0.1246282748784280,0.0455278380482693,-0.0768159371157319,0.0519491898507283,0.2882606255283250,0.2038031188754060,-0.0089193854379706,0.0636567999111600,0.3514832531392570,-0.1911723726016840,0.0410976634579532
36,-0.8611209789310050,-0.2791068806689840,-0.1653055037469200,0.1332522209358190,-0.0951472635077180,-0.0165510449897561,0.2265866272657660,-0.1518145771499800,-0.2045009827933220,0.2377906015815880,-0.0451054421063665,-0.0482959541787177,0.0890449374922320
37,-0.7312063866104080,0.0929580561381700,0.3573379001201910,0.3476263326442540,-0.0920983776839804,0.2409466551030890,0.1032277532005810,0.0629182541998818,0.2821794024807210,-0.1560683832320280,0.6242599239936710,0.0018066720527807,0.2945332547819980
38,-0.8563278504484880,-0.0999457295370749,0.1309482596584250,0.1122751222747790,-0.0751169771731195,0.0723237448634040,0.1663865529678090,-0.2370195106356340,0.0531967096827040,0.2240642160772260,0.2118937304066970,-0.3623196772081850,0.2328867595950680
39,-0.4418802289599890,0.0855959612451738,0.5225814845067980,0.2328986731984630,-0.1477541080401760,0.0135419523038464,-0.0504308955713536,0.2097559266171880,0.1582843773903770,-0.0730837371995165,0.0331644081908434,-0.4320135916499420,0.3835781922742300
40,-0.9757614017558690,-0.3846082460615420,-0.0657962977056344,0.1766587793442070,-0.0735634513299325,0.0935164613015822,0.1463270150250180,0.3074754293994240,-0.0170363547790862,0.0800567929953002,0.0943359204529676,-0.1669338242933700,0.3561797499689280
41,-0.6294036824636270,0.0922482049950732,0.1264104638304540,0.2604028998075020,-0.0997519575078706,0.0548791163814114,0.1002654613373480,-0.0002103304420655,-0.2398707564127070,-0.0638829244377057,0.1959964238388710,-0.0605916694479735,0.1849394855607900
42,-0.7520758115239070,-0.2863768593761260,-0.1555964300308020,0.0755272096743322,-0.0381186658619278,0.0503330669269871,0.1680984880368750,-0.1204565309906300,-0.2518449796071290,0.6281922590023270,0.0102190466775149,0.3856595438096910,0.1164433797975340
43,-0.5493484150621940,-0.4994211986731620,0.3319354225251020,0.0123247504631253,-0.0850573248943543,0.0006086212125093,0.1517296880255440,-0.1240163094181740,0.9018463441032460,-0.0535853303668365,3.8616514042582300,-0.1086899110510150,0.0547968846106043
44,-0.5724861994239220,0.1367995103950590,0.0687111246310615,0.1254559702681750,-0.1218111767735750,0.0233286197283047,0.0975087725244851,0.1599588163635460,0.1183792053537740,0.0353435188166330,-0.1051315127182330,-0.0376323409756220,0.1506914326791620
45,-0.6116676918365260,0.7837934597176500,0.2910719797775570,0.2787974211663490,-0.0480037999090482,-0.1949366807486760,0.1179427337725080,0.0798538070575354,-0.1721686787378240,0.0857450975753168,0.1182240296988400,-0.2882646523164660,0.2739844230530220
46,-0.5354905462857960,0.1166623756410230,0.1009916446519710,0.1609975636214210,-0.0947316483845452,0.0952613690504887,0.0447040020314677,0.0510607330186516,-0.2998177025915980,0.5397999276581550,0.0149250358081221,-0.0746556401321817,0.2123379278660920
47,-0.8374518487273020,-0.0007020155949031,0.3737039521404180,0.1120133179955270,-0.0210534406246281,0.1051947376288700,0.2106708947138190,-0.0236912557291822,-0.4884076178722170,0.4145441141310480,0.5472844625739860,-0.2813101317933820,0.1575410432554870
